id;inversor_id;modulo_id;qtd_max
717;75;7;26
718;76;7;27
719;77;7;39
720;78;7;39
721;79;7;46
722;80;7;52
723;81;7;52
724;82;7;57
725;83;7;65
726;84;7;65
727;85;7;78
728;86;7;78
729;87;7;104
730;88;7;130
731;89;7;153
732;90;7;156
733;91;7;184
734;92;7;196
735;93;7;230
736;94;7;261
737;95;7;287
738;96;7;326
739;97;7;653
740;98;7;15
741;99;7;18
742;100;7;23
743;101;7;30
744;102;7;34
745;103;7;46
746;104;7;46
747;105;7;57
748;106;7;69
749;107;7;115
750;1;8;6
751;2;8;11
752;3;8;13
753;4;8;17
754;5;8;18
755;6;8;23
756;7;8;8
757;8;8;10
758;9;8;13
759;10;8;16
760;11;8;21
761;12;8;22
762;13;8;27
763;14;8;32
764;15;8;40
765;16;8;41
766;17;8;40
767;18;8;46
768;19;8;40
769;20;8;65
770;21;8;68
771;22;8;80
772;23;8;82
773;24;8;80
774;25;8;95
775;26;8;109
776;27;8;117
777;28;8;120
778;29;8;160
779;30;8;164
780;31;8;178
781;32;8;160
782;33;8;170
783;34;8;273
784;35;8;301
785;36;8;360
786;37;8;8
787;38;8;10
788;39;8;13
789;40;8;16
790;41;8;20
791;42;8;27
792;43;8;32
793;44;8;41
794;45;8;54
795;46;8;38
796;47;8;68
797;48;8;68
798;49;8;80
799;50;8;80
800;51;8;80
801;52;8;136
802;53;8;200
803;54;8;200
804;55;8;273
805;56;8;684
806;57;8;54
807;58;8;136
808;59;8;205
809;60;8;24
810;61;8;30
811;62;8;34
812;63;8;41
813;64;8;45
814;65;8;51
815;66;8;23
816;67;8;13
817;68;8;20
818;69;8;27
819;70;8;6
820;71;8;8
821;72;8;11
822;73;8;13
823;74;8;17
824;75;8;23
825;76;8;24
826;77;8;34
827;78;8;34
828;79;8;40
829;80;8;46
830;81;8;46
831;82;8;51
832;83;8;58
833;84;8;58
834;85;8;69
835;86;8;69
836;87;8;93
837;88;8;116
838;89;8;136
839;90;8;139
840;91;8;164
841;92;8;174
842;93;8;205
843;94;8;232
844;95;8;256
845;96;8;291
846;97;8;360
847;98;8;13
848;99;8;16
849;100;8;20
850;101;8;27
851;102;8;30
852;103;8;41
853;104;8;41
854;105;8;51
855;106;8;61
856;107;8;102
857;1;9;9
858;2;9;15
859;3;9;18
860;4;9;22
861;5;9;24
862;6;9;30
863;7;9;10
864;8;9;11
865;9;9;18
866;10;9;21
867;11;9;28
868;12;9;33
869;13;9;36
870;14;9;43
871;15;9;54
872;16;9;54
873;17;9;60
874;18;9;61
875;19;9;72
876;20;9;86
877;21;9;80
878;22;9;108
879;23;9;108
880;24;9;118
881;25;9;126
882;26;9;144
883;27;9;154
884;28;9;160
885;29;9;216
886;30;9;216
887;31;9;234
888;32;9;240
889;33;9;170
890;34;9;360
891;35;9;396
892;36;9;720
893;37;9;10
894;38;9;14
895;39;9;18
896;40;9;20
897;41;9;27
898;42;9;33
899;43;9;43
900;44;9;54
901;45;9;72
902;46;9;72
903;47;9;80
904;48;9;80
905;49;9;80
906;50;9;80
907;51;9;80
908;52;9;160
909;53;9;270
910;54;9;360
911;55;9;360
912;56;9;843
913;57;9;72
914;58;9;180
915;59;9;270
916;60;9;32
917;61;9;40
918;62;9;45
919;63;9;54
920;64;9;59
921;65;9;67
922;66;9;30
923;67;9;18
924;68;9;27
925;69;9;36
926;70;9;8
927;71;9;10
928;72;9;15
929;73;9;18
930;74;9;20
931;75;9;30
932;76;9;32
933;77;9;45
934;78;9;45
935;79;9;54
936;80;9;61
937;81;9;61
938;82;9;67
939;83;9;76
940;84;9;76
941;85;9;91
942;86;9;91
943;87;9;122
944;88;9;153
945;89;9;180
946;90;9;180
947;91;9;216
